เลขที่ลำดับ,Transaction ID,ชื่อ นามสกุล,ที่อยู่,หมายเลขบัตรประชาชน,เบอร์ติดต่อกลับ,ประเภทการชำระเงิน,  วันเวลา เข้ามาพัก,ห้องพักเลขที่,สัญชาติ,อาชีพ,มาจากตำบล อำเภอ จังหวัด หรือประเทศใด,จะไปตำบล อำเภอ จังหวัด หรือประเทศใด,วันเวลาที่ออกไป
43,VP01188,บริษัท ชัวร์ ฟิลเตอร์ (ประเทศไทย) จำกัด,30/160 หมู่ที่ 1 ถนนเจษฏาวิถี ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,745546000078,,เงินโอน QR,09 ส.ค. 68,B104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,10 ส.ค. 68
44,VP01189,วิญญู,-,-,082-8500-850,เงินโอน QR,10 ส.ค. 68,N3,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,11 ส.ค. 68
45,VP01190,คุณสมบัติ,-,-,098-1834-229,เงินสด,10 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,11 ส.ค. 68
46,VP01191,สันติ ขอมกิ่ง,-,-,092-9526-159,เงินโอน QR,10 ส.ค. 68,A104,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,11 ส.ค. 68
47,VP01192,มนัส,-,-,089-5126-243,เงินโอน QR,10 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,11 ส.ค. 68
48,VP01193,บริษัท ดี.เอช.เอ.สยามวาลา จำกัด,202 ถนนสุรวงศ์ แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,105485000257,,เงินสด,10 ส.ค. 68,A104,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,11 ส.ค. 68
49,VP01194,บริษัท ไบโอ,-,-,-,เงินสด,10 ส.ค. 68,B105,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,11 ส.ค. 68
50,VP01195,ปณต โพธิ์สว่าง,-,-,093-5435-843,เงินสด,10 ส.ค. 68,A108,ไทย,รับจ้าง,ปทุมธานี,บึงกาฬ,11 ส.ค. 68
51,VP01196,สุจิตรา ธรรมเจริญ,-,-,092-8875-964,เงินโอน QR,10 ส.ค. 68,B106,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,11 ส.ค. 68
52,VP01197,ประนมไพร,-,-,080-0556-182,เงินสด,10 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,11 ส.ค. 68
53,VP01198,วินัย,-,-,080-7710-888,เงินโอน QR,10 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,11 ส.ค. 68
54,VP01199,ชุตินันต์,-,-,093-5202-132,เงินโอน QR,10 ส.ค. 68,A106,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,11 ส.ค. 68
55,VP01200,ธีรยุทธ,-,1550700105640,-,เงินโอน QR,10 ส.ค. 68,A108,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,11 ส.ค. 68
56,VP01201,นมดูเม็ก,-,-,-,เงินสด,10 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,11 ส.ค. 68
57,VP01202,วงศ์วรัญ นารถชัย,-,-,095-205-2957,เงินโอน QR,11 ส.ค. 68,A103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
58,VP01203,บริษัท เค เทคนิคเชี่ยน แอนด์ เซอร์วิส จำกัด    (สำนักงานใหญ่),124/208 หมู่ที่ 1 ตำบลบึงยี่โถ อำเภอธัญบุรี จ.ปทุมธานี 12130,135557015433,-,เงินโอน QR,11 ส.ค. 68,B105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
59,VP01204,บริษัท ห้าม้า โอสถ จำกัด,145/5 ซอยเฉลิมพระเกียรติ ร.9 ซ. 30 แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,105546034385,-,เงินสด,11 ส.ค. 68,A105,ไทย,รับจ้าง,กทม.,บึงกาฬ,12 ส.ค. 68
60,VP01205,ศราวุฒิ,-,-,091-0518-256,เงินสด,11 ส.ค. 68,A111,ไทย,รับจ้าง,เลย,บึงกาฬ,12 ส.ค. 68
61,VP01206,ครูยา,-,-,081-0540-830,เงินสด,11 ส.ค. 68,B105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
62,VP01207,ทองใส,-,-,084-5929-022,เงินโอน QR,11 ส.ค. 68,A103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
63,VP01208,ยุทธพงษ์,-,-,062-5782-534,เงินสด,11 ส.ค. 68,A107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
64,VP01209,ช่อผกา,-,-,086-4342-126,เงินโอน QR,11 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
65,VP01210,รัฐธรรมนูญ,-,-,086-2682-833,เงินโอน QR,11 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
66,VP01211,จุติพร เทยเลอร์,-,-,080-7014-582,เงินโอน QR,11 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
67,VP01212,บริษัท เอคโค่,-,-,098-6239-932,เงินสด,11 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,12 ส.ค. 68
68,VP01213,วรวุธ,-,-,091-8622-406,เงินโอน QR,12 ส.ค. 68,B104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
69,VP01214,คุณตุ๊,-,-,098-2269-056,เงินโอน QR,12 ส.ค. 68,A103,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,13 ส.ค. 68
70,VP01215,น้องเบลล์,-,-,-,เงินสด,12 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
71,VP01216,วิจิตรา,-,-,-,เงินสด,12 ส.ค. 68,B104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
72,VP01217,พิศิษ,-,1480800071071,080-7569-935,เงินสด,12 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
73,VP01218,สุชาติ,-,-,082-1130-448,เงินโอน QR,12 ส.ค. 68,A102,ไทย,รับจ้าง,สกล,บึงกาฬ,13 ส.ค. 68
74,VP01219,ทนากร,-,-,094-4985-514,เงินสด,12 ส.ค. 68,B105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
75,VP01220,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด,1111 หมู่ที่ 1 ถนนมะลิวัลย์ ตำบลบ้านทุ่ม อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,325558000268,086-2862-833,เงินโอน QR,12 ส.ค. 68,B108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
76,VP01221,เบนซ์,-,-,,เงินโอน QR,12 ส.ค. 68,B108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
77,VP01222,คุณ ธนาธร,-,-,094-4985-514,เงินโอน QR,12 ส.ค. 68,A104,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,13 ส.ค. 68
78,VP01223,คุณ วรพล,-,-,094-6828-266,เงินสด,12 ส.ค. 68,A101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
79,VP01224,มานพ,-,,082-8372-824,เงินโอน QR,12 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,13 ส.ค. 68
80,VP01225,กิ่งกานณ์ กุลาวงษ์,-,-,082-9299-888,เงินโอน QR,13 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
81,VP01226,กรรณิกา,-,-,095-1655-445,เงินสด,13 ส.ค. 68,B108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
82,VP01227,น.ส. ชนิทณี เดชบุรีรัมธ,316 ม.4 อ.เมือง จ.บึงกาฬ,1430301364481,086-3403-382,เงินสด,13 ส.ค. 68,A104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
83,VP01228,รุ่่งโรจน์,-,-,062-8573-585,เงินสด,13 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
84,VP01229,คุณ ปอนด์,-,-,-,เงินโอน QR,13 ส.ค. 68,A111,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
85,VP01230,เตชิน,,,098-7993-370,เงินสด,13 ส.ค. 68,N7,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
86,VP01231,ช่างซ่อมเครื่องซักผ้า,-,-,-,เงินโอน QR,13 ส.ค. 68,N3,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
87,VP01232,ธวัชชัย,-,-,083-0408-237,เงินโอน QR,13 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,14 ส.ค. 68
88,VP01233,อาทิตย์,-,-,096-6317-976,เงินโอน QR,14 ส.ค. 68,B103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,15 ส.ค. 68
89,VP01234,ชาวลิต,-,-,098-7991-839,เงินสด,14 ส.ค. 68,A102,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,15 ส.ค. 68
90,VP01235,สมควร,-,-,095-8614-778,เงินโอน QR,14 ส.ค. 68,B104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,15 ส.ค. 68
91,VP01236,คุณทาม,-,-,090-192-0150,เงินโอน QR,14 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,15 ส.ค. 68
92,VP01237,ลลิตา,-,1479300060141,064-3364-681,เงินสด,14 ส.ค. 68,A103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,15 ส.ค. 68
93,VP01238,คุณไพโรจน์,-,-,-,เงินสด,15 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
94,VP01239,คุณสนธยา,-,-,080-8192-542,เงินสด,15 ส.ค. 68,B105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
95,VP01240,คุณฉัตรชัย,-,-,-,เงินโอน QR,15 ส.ค. 68,A102,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
96,VP01241,ฐิติกา,-,-,064-0351-274,เงินสด,15 ส.ค. 68,N3,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
97,VP01242,วัชรินทร์,-,-,095-2219-945,เงินโอน QR,15 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
98,VP01243,ชญานี,-,-,064-7293-821,เงินโอน QR,15 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
99,VP01244,อนุชิต,-,-,061-2598-988,เงินโอน QR,15 ส.ค. 68,B104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
100,VP01245,โชติรส,-,-,063-3614-993,เงินสด,15 ส.ค. 68,B102,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
101,VP01246,ธิดารัตน์,-,-,096-3453-706,เงินโอน QR,15 ส.ค. 68,A111,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
102,VP01247,ภาณุวัฒน์,-,-,098-3498-404,เงินโอน QR,15 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
103,VP01248,สวภณ,-,-,067-6435-832,เงินสด,15 ส.ค. 68,B105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,16 ส.ค. 68
92,VP01249,ณัฐภัทร,-,-,085-4840-614,เงินสด,16 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
93,VP01250,ตองสาม,-,-,088-8924-498,เงินสด,16 ส.ค. 68,A107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
94,VP01251,ธิติยา,-,-,062-1878-476,เงินโอน QR,16 ส.ค. 68,A108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
95,VP01252,สุระชัย,-,-,088-9435-547,เงินสด,16 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
96,VP01253,อภิวัฒน์,-,-,081-8724-322,เงินโอน QR,16 ส.ค. 68,N4,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
97,VP01254,กชพรรณ,-,-,098-2405-411,เงินโอน QR,16 ส.ค. 68,B108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
98,VP01255,เอ้,-,,089-4480-514,เงินโอน QR,16 ส.ค. 68,A101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
111,VP01256,วัฒนา สีอ่อง,-,1419900226874,080-2372-464,เงินสด,16 ส.ค. 68,B103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
112,VP01257,จรัสชัย,-,-,096-0978-692,เงินโอน QR,16 ส.ค. 68,A103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
113,VP01258,วิษณุ,-,-,082-8500-850,เงินโอน QR,16 ส.ค. 68,A102,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
114,VP01259,สุนันท์,-,-,063-7412-876,เงินสด,16 ส.ค. 68,A101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
115,VP01260,เอกสิทธ์,-,-,081-2868-092,เงินสด,16 ส.ค. 68,N7,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
116,VP01261,ชลธิชา,-,-,-,เงินสด,16 ส.ค. 68,B108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,17 ส.ค. 68
117,VP01262,คุณครเทวิน,-,-,082-8372-824,เงินโอน QR,17 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
118,VP01263,บริษัท ธนวัฒน์,-,-,,เงินสด,17 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
119,VP01264,คุณกิจพงษ์,-,-,081-5589-185,เงินโอน QR,17 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
120,VP01265,มนต์ทรานสปอร์ต,-,-,,เงินโอน QR,17 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
121,VP01266,เสกสรรค์,-,-,061-9941-942,เงินโอน QR,17 ส.ค. 68,A104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
122,VP01267,กรภัทร,-,-,093-0286-088,เงินสด,17 ส.ค. 68,N7,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
123,VP01268,อริสรา,-,-,093-6672-972,เงินโอน QR,17 ส.ค. 68,A103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
124,VP01269,นัฐพงษ์,-,-,098-2567-909,เงินโอน QR,17 ส.ค. 68,A102,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
125,VP01270,ประสงค์,-,-,064-6474-674,เงินสด,17 ส.ค. 68,A101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,18 ส.ค. 68
126,VP01271,กรมประมง,-,-,081-592-6392,เงินสด,18 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,19 ส.ค. 68
127,VP01272,นาย นันฑิตา,-,-,064-6266-016,เงินสด,18 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,19 ส.ค. 68
128,VP01273,อภิญญา,-,1539900814294,092-4520-992,เงินโอน QR,18 ส.ค. 68,B101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,19 ส.ค. 68
130,VP01274,ศศิพร,-,-,082-2054-703,เงินสด,18 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,19 ส.ค. 68
131,VP01275,ดารินทร์,-,-,063-7963-382,เงินโอน QR,18 ส.ค. 68,B110,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,19 ส.ค. 68
132,VP01276,จีรวัฒน์ ชฎาทอง,-,-,-,เงินโอน QR,18 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,19 ส.ค. 68
133,VP01277,ประวิทย์,-,-,087-8985-543,เงินโอน QR,18 ส.ค. 68,A107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,19 ส.ค. 68
134,VP01278,แทนรัก,-,-,081-0700-537,เงินสด,19 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
135,VP01279,อรรณพ ลอนชา,-,-,095-7852-257,เงินโอน QR,19 ส.ค. 68,A104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
136,VP01280,วิชัย ศรีมาลา,-,-,084-3628-471,เงินโอน QR,19 ส.ค. 68,B103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
137,VP01281,สิรภพ สีพรม,-,-,082-6815-568,เงินสด,19 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
138,VP01282,ธนพิทักษ์ อุปชัย,-,-,095-9904-661,เงินสด,19 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
139,VP01283,คุณธีระ,-,-,085-6672-260,เงินสด,19 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
140,VP01284,คุณหนึ่ง,-,-,097-0151-712,เงินโอน QR,19 ส.ค. 68,B104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
141,VP01285,รุ่งนภา บัวโอกาส,-,-,099-1846-116,เงินสด,19 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,20 ส.ค. 68
142,VP01286,บริษัท บิ๊ก วัน อินเตอร์เทรด จำกัด,49/484 หมู่ที่ 4 ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,105551130478,-,เงินโอน QR,20 ส.ค. 68,N3,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,21 ส.ค. 68
143,VP01287,สามรวมมิตร,-,-,061-3632-244,เงินโอน QR,21 ส.ค. 68,A107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,22 ส.ค. 68
