VP_ID,Month,วันที่,เลขที่เอกสาร,ชื่อ-นามสกุล,หมายเลขห้องพัก,ประเภทห้อง,ที่อยู่,หมายเลขบัตรประชาชน,เบอร์ติดต่อ,มูลค่าสินค้า/บริการ,จำนวนเงินภาษี,รวม,
VP1779,กันยายน 2568,16/09/2068,09/47,คุณปัญญา,A101,Standard,235 หมู่ 13 ถนนสุขุมวิท ต.หนองจิก อ.บ้านไผ่ จ.พระนครศรีอยุธยา,1842363725595,825368143,373.83,26.17,400,
VP1780,กันยายน 2568,17/09/2068,09/48,คุณธนาธิป,B107,Standard,,,,,373.83,26.17,400
VP1781,กันยายน 2568,17/09/2068,09/49,คุณอดิศักดิ์,A107,Standard Twin,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.ลำลูกกา จ.หนองคาย,1681284705030,864387693,467.29,32.71,500,
VP1782,กันยายน 2568,17/09/2068,09/50,คุณแสงจันทร์,N1,Standard Twin,749 หมู่ 2 ถนนมิตรภาพ ต.หนองจิก อ.ปากช่อง จ.ขอนแก่น,1468647714210,948970725,560.75,39.25,600,
VP1783,กันยายน 2568,18/09/2068,09/51,คุณอดิศักดิ์,A106,Standard Twin,,,,,467.29,32.71,500
VP1784,กันยายน 2568,18/09/2068,09/52,คุณคมกริช,A101,Standard,,,,,373.83,26.17,400
VP1785,กันยายน 2568,18/09/2068,09/53,คุณพิมมาดา,B107,Standard,599 หมู่ 10 ถนนสุขุมวิท ต.บ้านใหม่ อ.บ้านไผ่ จ.นครปฐม,1468647714210,877905813,373.83,26.17,400,
VP1786,กันยายน 2568,19/09/2068,09/54,คุณปรีชา,N2,Standard,,,,,467.29,32.71,500
VP1787,กันยายน 2568,19/09/2068,09/55,คุณปัญญาจิตร,B108,Standard,,,,,373.83,26.17,400
VP1788,กันยายน 2568,19/09/2068,09/56,คุณทัจนีย์,A106,Standard Twin,,,,,467.29,32.71,500
VP1789,กันยายน 2568,20/09/2068,09/57,คุณกิติศักดิ์,B101,Standard,,,,,373.83,26.17,400
VP1790,กันยายน 2568,20/09/2068,09/58,คุณจิราวัฒน์,A107,Standard Twin,,,,,467.29,32.71,500
VP1791,กันยายน 2568,20/09/2068,09/59,คุณนิราช,N1,Standard Twin,227 หมู่ 11 ถนนรัชดาภิเษก ต.หนองจิก อ.สีคิ้ว จ.สุรินทร์,1874984180491,854048704,560.75,39.25,600,
VP1792,กันยายน 2568,21/09/2068,09/60,คุณอรินญา,A106,Standard Twin,788 หมู่ 6 ถนนสุขุมวิท ต.โคกสูง อ.ลำลูกกา จ.นครปฐม,5599026409893,903334237,467.29,32.71,500,
VP1793,กันยายน 2568,21/09/2068,09/61,คุณทัจนีย์,B107,Standard,,,,,373.83,26.17,400
VP1794,กันยายน 2568,21/09/2068,09/62,คุณปรีชา,A101,Standard,41 หมู่ 13 ถนนรามอินทรา ต.หนองจิก อ.ปากช่อง จ.บุรีรัมย์,3849318155985,903334237,373.83,26.17,400,
VP1795,กันยายน 2568,22/09/2068,09/63,คุณนุศรา,B108,Standard,,,,,373.83,26.17,400
VP1796,กันยายน 2568,22/09/2068,09/64,คุณชัชวาล,N2,Standard,61 หมู่ 2 ถนนพหลโยธิน ต.หนองจิก อ.ปากช่อง จ.สมุทรสาคร,1681284705030,917634346,467.29,32.71,500,
VP1797,กันยายน 2568,22/09/2068,09/65,คุณแสงจันทร์,N1,Standard Twin,749 หมู่ 2 ถนนมิตรภาพ ต.หนองจิก อ.บ้านไผ่ จ.หนองคาย,1468647714210,948970725,560.75,39.25,600,
VP1798,กันยายน 2568,23/09/2068,09/66,คุณจันทรีจิรา,B101,Standard,,,,,373.83,26.17,400
VP1799,กันยายน 2568,23/09/2068,09/67,คุณนุศรา,A106,Standard Twin,567 หมู่ 14 ถนนสุขุมวิท ต.ท่าศาลา อ.บ้านไผ่ จ.ขอนแก่น,2537637841198,877905813,467.29,32.71,500,
VP1800,กันยายน 2568,23/09/2068,09/68,คุณนุช,A101,Standard,,,,,373.83,26.17,400
VP1801,กันยายน 2568,24/09/2068,09/69,คุณวีระ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.หนองจิก อ.ลำลูกกา จ.อุบลราชธานี,1468647714210,948970725,373.83,26.17,400,
VP1802,กันยายน 2568,24/09/2068,09/70,คุณรัชดา,B108,Standard,,,,,373.83,26.17,400
VP1803,กันยายน 2568,24/09/2068,09/71,คุณทัจนีย์,A106,Standard Twin,,,,,467.29,32.71,500
VP1804,กันยายน 2568,25/09/2068,09/72,คุณชัชวาล,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.หนองจิก อ.บ้านไผ่ จ.อุบลราชธานี,1681284705030,917634346,467.29,32.71,500,
VP1805,กันยายน 2568,25/09/2068,09/73,คุณตุ๊ก,N1,Standard Twin,749 หมู่ 2 ถนนมิตรภาพ ต.ท่าศาลา อ.บ้านไผ่ จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1806,กันยายน 2568,25/09/2068,09/74,คุณทัจนีย์,B101,Standard,,,,,373.83,26.17,400
VP1807,กันยายน 2568,26/09/2068,09/75,คุณวิสัย,A106,Standard Twin,,,,,467.29,32.71,500
VP1808,กันยายน 2568,26/09/2068,09/76,คุณนุศรา,A101,Standard,,,,,373.83,26.17,400
VP1809,กันยายน 2568,26/09/2068,09/77,คุณจิรศักดิ์,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.หนองจิก อ.ลำลูกกา จ.หนองคาย,1468647714210,948970725,373.83,26.17,400,
VP1810,กันยายน 2568,27/09/2068,09/78,คุณพงษ์,B108,Standard,,,,,373.83,26.17,400
VP1811,กันยายน 2568,27/09/2068,09/79,คุณนิราช,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1812,กันยายน 2568,27/09/2068,09/80,คุณวิสัย,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1813,กันยายน 2568,28/09/2068,09/81,คุณอภินันท์,B101,Standard,,,,,373.83,26.17,400
VP1814,กันยายน 2568,28/09/2068,09/82,คุณอรินญา,A106,Standard Twin,,,,,467.29,32.71,500
VP1815,กันยายน 2568,28/09/2068,09/83,คุณจิราวัฒน์,A101,Standard,235 หมู่ 13 ถนนรามอินทรา ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1842363725595,825368143,373.83,26.17,400,
VP1816,กันยายน 2568,29/09/2068,09/84,คุณคมกริช,B107,Standard,,,,,373.83,26.17,400
VP1817,กันยายน 2568,29/09/2068,09/85,คุณนันทพงศ์,B108,Standard,,,,,373.83,26.17,400
VP1818,กันยายน 2568,29/09/2068,09/86,คุณศราวุฒิ,A106,Standard Twin,,,,,467.29,32.71,500
VP1819,กันยายน 2568,30/09/2068,09/87,คุณนุศรา,N2,Standard,61 หมู่ 2 ถนนมิตรภาพ ต.หนองจิก อ.ปากช่อง จ.สุพรรณบุรี,1681284705030,917634346,467.29,32.71,500,
VP1820,กันยายน 2568,30/09/2068,09/88,คุณกิตติชัย,N1,Standard Twin,749 หมู่ 2 ถนนพหลโยธิน ต.หนองจิก อ.บ้านไผ่ จ.ขอนแก่น,1468647714210,948970725,560.75,39.25,600,
VP1821,กันยายน 2568,30/09/2068,09/89,คุณนุศรา,B101,Standard,,,,,373.83,26.17,400
VP1822,กันยายน 2568,30/09/2068,09/90,คุณธนาธิป,A106,Standard Twin,,,,,467.29,32.71,500
VP1823,กันยายน 2568,30/09/2068,09/91,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1824,กันยายน 2568,30/09/2068,09/92,คุณกิตติชัย,B107,Standard,,,,,373.83,26.17,400
VP1825,กันยายน 2568,30/09/2068,09/93,คุณนุศรา,B108,Standard,,,,,373.83,26.17,400
VP1826,กันยายน 2568,30/09/2068,09/94,คุณกิติศักดิ์,N2,Standard,,,,,467.29,32.71,500
VP1827,กันยายน 2568,30/09/2068,09/95,คุณพิชยดล,N1,Standard Twin,,,,,560.75,39.25,600
VP1828,กันยายน 2568,30/09/2068,09/96,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1829,กันยายน 2568,30/09/2068,09/97,คุณศราวุฒิ,A106,Standard Twin,,,,,467.29,32.71,500
VP1830,กันยายน 2568,30/09/2068,09/98,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1831,กันยายน 2568,30/09/2068,09/99,คุณนุศรา,B107,Standard,,,,,373.83,26.17,400
VP1832,กันยายน 2568,30/09/2068,09/100,คุณธนาธิป,B108,Standard,,,,,373.83,26.17,400
VP1833,ตุลาคม 2568,01/10/2068,10/01,คุณมิน,N2,Standard,,,,,467.29,32.71,500
VP1834,ตุลาคม 2568,01/10/2068,10/02,คุณอภินันท์,N1,Standard Twin,,,,,560.75,39.25,600
VP1835,ตุลาคม 2568,01/10/2068,10/03,คุณจิราวัฒน์,B101,Standard,235 หมู่ 13 ถนนรามอินทรา ต.หนองจิก อ.ปากช่อง จ.นนทบุรี,1842363725595,825368143,373.83,26.17,400,
VP1836,ตุลาคม 2568,02/10/2068,10/04,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1837,ตุลาคม 2568,02/10/2068,10/05,คุณกิตติชัย,A101,Standard,,,,,373.83,26.17,400
VP1838,ตุลาคม 2568,02/10/2068,10/06,คุณธนาธิป,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.บ้านใหม่ อ.บ้านไผ่ จ.ขอนแก่น,1468647714210,948970725,373.83,26.17,400,
VP1839,ตุลาคม 2568,03/10/2068,10/07,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1840,ตุลาคม 2568,03/10/2068,10/08,คุณศราวุฒิ,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.พระนครศรีอยุธยา,1681284705030,917634346,467.29,32.71,500,
VP1841,ตุลาคม 2568,03/10/2068,10/09,คุณแสงจันทร์,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1842,ตุลาคม 2568,04/10/2068,10/10,คุณพิชยดล,B101,Standard,,,,,373.83,26.17,400
VP1843,ตุลาคม 2568,04/10/2068,10/11,คุณคมกริช,A106,Standard Twin,,,,,467.29,32.71,500
VP1844,ตุลาคม 2568,04/10/2068,10/12,คุณทัจนีย์,A101,Standard,,,,,373.83,26.17,400
VP1845,ตุลาคม 2568,05/10/2068,10/13,คุณนุศรา,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1846,ตุลาคม 2568,05/10/2068,10/14,คุณศราวุฒิ,B108,Standard,,,,,373.83,26.17,400
VP1847,ตุลาคม 2568,05/10/2068,10/15,คุณทรงวุฒิ,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1848,ตุลาคม 2568,06/10/2068,10/16,คุณจิราวัฒน์,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1849,ตุลาคม 2568,06/10/2068,10/17,คุณกิตติชัย,B101,Standard,,,,,373.83,26.17,400
VP1850,ตุลาคม 2568,06/10/2068,10/18,คุณนิราช,A106,Standard Twin,,,,,467.29,32.71,500
VP1851,ตุลาคม 2568,07/10/2068,10/19,คุณปิติภัทร,A101,Standard,,,,,373.83,26.17,400
VP1852,ตุลาคม 2568,07/10/2068,10/20,คุณคมกริช,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1853,ตุลาคม 2568,07/10/2068,10/21,คุณพิชยดล,B108,Standard,,,,,373.83,26.17,400
VP1854,ตุลาคม 2568,08/10/2068,10/22,คุณวิชัยยุทธ,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1855,ตุลาคม 2568,08/10/2068,10/23,คุณแสงจันทร์,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1856,ตุลาคม 2568,08/10/2068,10/24,คุณพิชยดล,B101,Standard,,,,,373.83,26.17,400
VP1857,ตุลาคม 2568,09/10/2068,10/25,คุณคมกริช,A106,Standard Twin,,,,,467.29,32.71,500
VP1858,ตุลาคม 2568,09/10/2068,10/26,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1859,ตุลาคม 2568,09/10/2068,10/27,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1860,ตุลาคม 2568,10/10/2068,10/28,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1861,ตุลาคม 2568,10/10/2068,10/29,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1862,ตุลาคม 2568,10/10/2068,10/30,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1863,ตุลาคม 2568,11/10/2068,10/31,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1864,ตุลาคม 2568,11/10/2068,10/32,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1865,ตุลาคม 2568,11/10/2068,10/33,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1866,ตุลาคม 2568,12/10/2068,10/34,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1867,ตุลาคม 2568,12/10/2068,10/35,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1868,ตุลาคม 2568,12/10/2068,10/36,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1869,ตุลาคม 2568,13/10/2068,10/37,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1870,ตุลาคม 2568,13/10/2068,10/38,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1871,ตุลาคม 2568,13/10/2068,10/39,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1872,ตุลาคม 2568,14/10/2068,10/40,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1873,ตุลาคม 2568,14/10/2068,10/41,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1874,ตุลาคม 2568,14/10/2068,10/42,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1875,ตุลาคม 2568,15/10/2068,10/43,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1876,ตุลาคม 2568,15/10/2068,10/44,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1877,ตุลาคม 2568,15/10/2068,10/45,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1878,ตุลาคม 2568,16/10/2068,10/46,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1879,ตุลาคม 2568,16/10/2068,10/47,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1880,ตุลาคม 2568,16/10/2068,10/48,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1881,ตุลาคม 2568,17/10/2068,10/49,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1882,ตุลาคม 2568,17/10/2068,10/50,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1883,ตุลาคม 2568,17/10/2068,10/51,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1884,ตุลาคม 2568,18/10/2068,10/52,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1885,ตุลาคม 2568,18/10/2068,10/53,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1886,ตุลาคม 2568,18/10/2068,10/54,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1887,ตุลาคม 2568,19/10/2068,10/55,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1888,ตุลาคม 2568,19/10/2068,10/56,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1889,ตุลาคม 2568,19/10/2068,10/57,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1890,ตุลาคม 2568,20/10/2068,10/58,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1891,ตุลาคม 2568,20/10/2068,10/59,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
VP1892,ตุลาคม 2568,20/10/2068,10/60,คุณสุดารัตน์,A106,Standard Twin,,,,,467.29,32.71,500
VP1893,ตุลาคม 2568,21/10/2068,10/61,คุณธนาธิป,A101,Standard,,,,,373.83,26.17,400
VP1894,ตุลาคม 2568,21/10/2068,10/62,คุณศราวุฒิ,B107,Standard,599 หมู่ 10 ถนนพหลโยธิน ต.โคกสูง อ.ท่าเรือ จ.สระบุรี,1468647714210,948970725,373.83,26.17,400,
VP1895,ตุลาคม 2568,21/10/2068,10/63,คุณจิราวัฒน์,B108,Standard,,,,,373.83,26.17,400
VP1896,ตุลาคม 2568,22/10/2068,10/64,คุณแสงจันทร์,N2,Standard,61 หมู่ 2 ถนนรามอินทรา ต.ท่าศาลา อ.บ้านไผ่ จ.นครปฐม,1681284705030,917634346,467.29,32.71,500,
VP1897,ตุลาคม 2568,22/10/2068,10/65,คุณพิชยดล,N1,Standard Twin,749 หมู่ 2 ถนนสุขุมวิท ต.หนองจิก อ.ลำลูกกา จ.นนทบุรี,1468647714210,948970725,560.75,39.25,600,
VP1898,ตุลาคม 2568,22/10/2068,10/66,คุณจิราวัฒน์,B101,Standard,,,,,373.83,26.17,400
