บัญชีผู้เข้าพักและรายละเอียดในการเรียกเก็บค่าธรรมเนียมบำรุงองค์การบริหารส่วนจังหวัด,,,,,,         แบบ อบจ. รร.6,,,,,ราคาห้องพัก (บาท),จำนวนห้อง,รวมเป็นเงิน (บาท),ค่าธรรมเนียม (บาท)
58,B105,เงินโอน QR,,,฿0,฿0,,VP01203,,,,,,
59,A105,เงินสด,,,฿0,฿0,,VP01204,,,,,,
60,A111,เงินสด,,,฿0,฿0,,VP01205,,,,,,
61,B105,เงินสด,,,฿0,฿0,,VP01206,,,,,,
62,A103,เงินโอน QR,,,฿0,฿0,,VP01207,,,,,,
63,A107,เงินสด,,,฿0,฿0,,VP01208,,,,,,
64,A105,เงินโอน QR,,,฿0,฿0,,VP01209,,,,,,
65,B106,เงินโอน QR,,,฿0,฿0,,VP01210,,,,,,
66,A105,เงินโอน QR,,,฿0,฿0,,VP01211,,,,,,
67,B107,เงินสด,,,฿0,฿0,,VP01212,,,,,,
68,B104,เงินโอน QR,,,฿0,฿0,,VP01213,,,,,,
69,A103,เงินโอน QR,,,฿0,฿0,,VP01214,,,,,,
70,B106,เงินสด,,,฿0,฿0,,VP01215,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
71,B104,เงินสด,,,฿0,฿0,,VP01216,,,,,,
72,A105,เงินสด,,,฿0,฿0,,VP01217,,,,,,
73,A102,เงินโอน QR,,,฿0,฿0,,VP01218,,,,,,
74,B105,เงินสด,,,฿0,฿0,,VP01219,,,,,,
75,B108,เงินโอน QR,,,฿0,฿0,,VP01220,,,,,,
76,B108,เงินโอน QR,,,฿0,฿0,,VP01221,,,,,,
77,A104,เงินโอน QR,,,฿0,฿0,,VP01222,,,,,,
78,A101,เงินสด,,,฿0,฿0,,VP01223,,,,,,
79,B106,เงินโอน QR,,,฿0,฿0,,VP01224,,,,,,
80,B109,เงินโอน QR,,,฿0,฿0,,VP01225,,,,,,
81,B108,เงินสด,,,฿0,฿0,,VP01226,,,,,,
82,A104,เงินสด,,,฿0,฿0,,VP01227,,,,,,
83,A105,เงินสด,,,฿0,฿0,,VP01228,,,,,,
84,A111,เงินโอน QR,,,฿0,฿0,,VP01229,,,,,,
85,N7,เงินสด,,,฿0,฿0,,VP01230,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
86,N7,เงินสด,,,฿0,฿0,,VP01230,,,,,,
87,N3,เงินโอน QR,,,฿0,฿0,,VP01231,,,,,,
88,A106,เงินโอน QR,,,฿0,฿0,,VP01232,,,,,,
89,B103,เงินโอน QR,,,฿0,฿0,,VP01233,,,,,,
90,A102,เงินสด,,,฿0,฿0,,VP01234,,,,,,
91,B104,เงินโอน QR,,,฿0,฿0,,VP01235,,,,,,
92,B107,เงินโอน QR,,,฿0,฿0,,VP01236,,,,,,
93,A103,เงินสด,,,฿0,฿0,,VP01237,,,,,,
94,B106,เงินสด,,,฿0,฿0,,VP01238,,,,,,
95,B105,เงินสด,,,฿0,฿0,,VP01239,,,,,,
96,A102,เงินโอน QR,,,฿0,฿0,,VP01240,,,,,,
97,N3,เงินสด,,,฿0,฿0,,VP01241,,,,,,
98,B109,เงินโอน QR,,,฿0,฿0,,VP01242,,,,,,
99,A105,เงินโอน QR,,,฿0,฿0,,VP01243,,,,,,
100,B104,เงินโอน QR,,,฿0,฿0,,VP01244,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันเข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
101,B102,เงินสด,,,฿0,฿0,,VP01245,,,,,,
102,A111,เงินโอน QR,,,฿0,฿0,,VP01246,,,,,,
103,B107,เงินโอน QR,,,฿0,฿0,,VP01247,,,,,,
104,B105,เงินสด,,,฿0,฿0,,VP01248,,,,,,
105,B106,เงินสด,,,฿0,฿0,,VP01249,,,,,,
106,A107,เงินสด,,,฿0,฿0,,VP01250,,,,,,
107,A108,เงินโอน QR,,,฿0,฿0,,VP01251,,,,,,
108,B107,เงินสด,,,฿0,฿0,,VP01252,,,,,,
109,N4,เงินโอน QR,,,฿0,฿0,,VP01253,,,,,,
110,B108,เงินโอน QR,,,฿0,฿0,,VP01254,,,,,,
111,A101,เงินโอน QR,,,฿0,฿0,,VP01255,,,,,,
112,B103,เงินสด,,,฿0,฿0,,VP01256,,,,,,
113,A103,เงินโอน QR,,,฿0,฿0,,VP01257,,,,,,
114,A102,เงินโอน QR,,,฿0,฿0,,VP01258,,,,,,
115,A101,เงินสด,,,฿0,฿0,,VP01259,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
116,N7,เงินสด,,,฿0,฿0,,VP01260,,,,,,
117,B108,เงินสด,,,฿0,฿0,,VP01261,,,,,,
118,B107,เงินโอน QR,,,฿0,฿0,,VP01262,,,,,,
119,B109,เงินสด,,,฿0,฿0,,VP01263,,,,,,
120,A106,เงินโอน QR,,,฿0,฿0,,VP01264,,,,,,
121,B106,เงินโอน QR,,,฿0,฿0,,VP01265,,,,,,
122,A104,เงินโอน QR,,,฿0,฿0,,VP01266,,,,,,
123,N7,เงินสด,,,฿0,฿0,,VP01267,,,,,,
124,A103,เงินโอน QR,,,฿0,฿0,,VP01268,,,,,,
125,A102,เงินโอน QR,,,฿0,฿0,,VP01269,,,,,,
126,A101,เงินสด,,,฿0,฿0,,VP01270,,,,,,
127,B107,เงินสด,,,฿0,฿0,,VP01271,,,,,,
128,A106,เงินสด,,,฿0,฿0,,VP01272,,,,,,
129,B101,เงินโอน QR,,,฿0,฿0,,VP01273,,,,,,
130,B109,เงินสด,,,฿0,฿0,,VP01274,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
131,B110,เงินโอน QR,,,฿0,฿0,,VP01275,,,,,,
132,A105,เงินโอน QR,,,฿0,฿0,,VP01276,,,,,,
133,A107,เงินโอน QR,,,฿0,฿0,,VP01277,,,,,,
134,A106,เงินสด,,,฿0,฿0,,VP01278,,,,,,
135,A104,เงินโอน QR,,,฿0,฿0,,VP01279,,,,,,
136,B103,เงินโอน QR,,,฿0,฿0,,VP01280,,,,,,
137,B107,เงินสด,,,฿0,฿0,,VP01281,,,,,,
138,B107,เงินสด,,,฿0,฿0,,VP01282,,,,,,
139,B109,เงินสด,,,฿0,฿0,,VP01283,,,,,,
140,B104,เงินโอน QR,,,฿0,฿0,,VP01284,,,,,,
141,B106,เงินสด,,,฿0,฿0,,VP01285,,,,,,
142,N3,เงินโอน QR,,,฿0,฿0,,VP01286,,,,,,
143,A107,เงินโอน QR,,,฿0,฿0,,VP01287,,,,,,
144,B105,เงินโอน QR,,,฿0,฿0,,VP01288,,,,,,
145,N4,เงินสด,,,฿0,฿0,,VP01289,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,                 ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,400,,,,,,
,,,(........................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
146,B107,เงินโอน QR,,,฿0,฿0,,VP01290,,,,,,
147,A104,เงินโอน QR,,,฿0,฿0,,VP01291,,,,,,
148,A105,เงินสด,,,฿0,฿0,,VP01292,,,,,,
149,A104,เงินสด,,,฿0,฿0,,VP01293,,,,,,
150,B106,เงินสด,,,฿0,฿0,,VP01294,,,,,,
151,A109,เงินโอน QR,,,฿0,฿0,,VP01295,,,,,,
152,B107,เงินสด,,,฿0,฿0,,VP01296,,,,,,
153,A106,เงินโอน QR,,,฿0,฿0,,VP01297,,,,,,
154,B107,เงินโอน QR,,,฿0,฿0,,VP01298,,,,,,
155,A110,เงินโอน QR,,,฿0,฿0,,VP01299,,,,,,
156,A102,เงินสด,,,฿0,฿0,,VP01300,,,,,,
157,B108,เงินโอน QR,,,฿0,฿0,,VP01301,,,,,,
158,A104,เงินโอน QR,,,฿0,฿0,,VP01302,,,,,,
159,B106,เงินสด,,,฿0,฿0,,VP01303,,,,,,
160,B109,เงินสด,,,฿0,฿0,,VP01304,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,400,,,,,,
,,,        (..................................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
161,B110,เงินสด,,,฿0,฿0,,VP01305,,,,,,
162,A105,เงินโอน QR,,,฿0,฿0,,VP01306,,,,,,
163,A107,เงินสด,,,฿0,฿0,,VP01307,,,,,,
164,A106,เงินโอน QR,,,฿0,฿0,,VP01308,,,,,,
165,A104,เงินโอน QR,,,฿0,฿0,,VP01309,,,,,,
166,B103,เงินโอน QR,,,฿0,฿0,,VP01310,,,,,,
167,B107,เงินสด,,,฿0,฿0,,VP01311,,,,,,
168,B107,เงินโอน QR,,,฿0,฿0,,VP01312,,,,,,
169,B109,เงินโอน QR,,,฿0,฿0,,VP01313,,,,,,
170,B109,เงินสด,,,฿0,฿0,,VP01314,,,,,,
171,B110,เงินสด,,,฿0,฿0,,VP01315,,,,,,
172,A105,เงินสด,,,฿0,฿0,,VP01316,,,,,,
173,A107,เงินโอน QR,,,฿0,฿0,,VP01317,,,,,,
174,A106,เงินสด,,,฿0,฿0,,VP01318,,,,,,
175,A104,เงินโอน QR,,,฿0,฿0,,VP01319,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,400,,,,,,
,,,        (..................................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
176,B103,เงินโอน QR,,,฿0,฿0,,VP01320,,,,,,
177,B107,เงินโอน QR,,,฿0,฿0,,VP01321,,,,,,
178,B107,เงินสด,,,฿0,฿0,,VP01322,,,,,,
179,B109,เงินโอน QR,,,฿0,฿0,,VP01323,,,,,,
180,B109,เงินโอน QR,,,฿0,฿0,,VP01324,,,,,,
181,B110,เงินสด,,,฿0,฿0,,VP01325,,,,,,
182,A105,เงินสด,,,฿0,฿0,,VP01326,,,,,,
183,A107,เงินสด,,,฿0,฿0,,VP01327,,,,,,
184,A106,เงินโอน QR,,,฿0,฿0,,VP01328,,,,,,
185,A104,เงินสด,,,฿0,฿0,,VP01329,,,,,,
186,B103,เงินโอน QR,,,฿0,฿0,,VP01330,,,,,,
187,A105,เงินโอน QR,,,฿0,฿0,,VP01331,,,,,,
188,A104,เงินโอน QR,,,฿0,฿0,,VP01332,,,,,,
189,B106,เงินสด,,,฿0,฿0,,VP01333,,,,,,
190,A109,เงินโอน QR,,,฿0,฿0,,VP01334,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,400,,,,,,
,,,        (..................................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
191,B107,เงินโอน QR,,,฿0,฿0,,VP01335,,,,,,
192,A106,เงินสด,,,฿0,฿0,,VP01336,,,,,,
193,,,,,฿0,฿0,,VP01337,,,,,,
194,,,,,฿0,฿0,,VP01338,,,,,,
,B107,เงินสด,,,,,,VP01339,,,,,,
,B201,เงินสด,,,,,,VP01340,,,,,,
,A206,เงินสด,,,,,,VP01341,,,,,,
,B211,เงินสด,,,,,,VP01342,,,,,,
,A106,เงินสด,,,,,,VP01343,,,,,,
,A109,เงินโอน QR,,,,,,VP01344,,,,,,
,A205,เงินโอน QR,,,,,,VP01345,,,,,,
,A103,เงินโอน QR,,,,,,VP01346,,,,,,
,N1,เงินสด,,,,,,VP01347,,,,,,
,B101,เงินโอน QR,,,,,,VP01348,,,,,,
,A101,เงินสด,,,,,,VP01349,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,401,,,,,,
,,,        (..................................................................),,,,,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
176,B107,เงินโอน QR,,,฿0,฿0,,VP01350,,,,,,
177,,,,,฿0,฿0,,VP01351,,,,,,
178,,,,,฿0,฿0,,VP01352,,,,,,
179,,,,,฿0,฿0,,VP01353,,,,,,
180,,,,,฿0,฿0,,VP01354,,,,,,
181,,,,,฿0,฿0,,VP01355,,,,,,
182,,,,,฿0,฿0,,VP01356,,,,,,
183,,,,,฿0,฿0,,VP01357,,,,,,
184,,,,,฿0,฿0,,VP01358,,,,,,
185,,,,,฿0,฿0,,VP01359,,,,,,
186,,,,,฿0,฿0,,VP01360,,,,,,
187,,,,,฿0,฿0,,VP01361,,,,,,
188,,,,,฿0,฿0,,VP01362,,,,,,
189,,,,,฿0,฿0,,VP01363,,,,,,
190,,,,,฿0,฿0,,VP01364,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,,,,,,
,,,        (..................................................................),,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
191,,,,,฿0,฿0,,,,,,,,
192,,,,,฿0,฿0,,,,,,,,
193,,,,,฿0,฿0,,,,,,,,
194,,,,,฿0,฿0,,,,,,,,
195,,,,,฿0,฿0,,,,,,,,
196,,,,,฿0,฿0,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,,,,,,
,,,        (..................................................................),,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
206,คุณพิชยดล,30 ก.ย. 68,,,฿0,฿0,,,,,,,,
207,คุณสุดารัตน์,30 ก.ย. 68,,,฿0,฿0,,,,,,,,
208,คุณสุกัญญา,30 ก.ย. 68,,,฿0,฿0,,,,,,,,
209,คุณธนาธิป,30 ก.ย. 68,,,฿0,฿0,,,,,,,,
210,คุณนุจิรา,30 ก.ย. 68,,,฿0,฿0,,,,,,,,
211,คุณมิ้นท์,30 ก.ย. 68,,,฿0,฿0,,,,,,,,
212,คุณกิติศักดิ์,,,,,,,,,,,,,
213,คุณพิชยดล,,,,,,,,,,,,,
214,คุณจิราวัฒน์,,,,,,,,,,,,,
215,คุณศราวุฒิ,,,,,,,,,,,,,
216,คุณธนาธิป,,,,,,,,,,,,,
217,คุณนุศรา,,,,,,,,,,,,,
218,คุณธนาธิป,,,,,,,,,,,,,
219,คุณมิน,,,,,,,,,,,,,
220,คุณอภินันท์,,,,,,,,,,,,,
รวม,,,0,฿0,฿0,฿0,,,,,,,,
,,,,,,,,,,,,,,
,,,,ลงชื่อ................................................................ผู้แจ้ง / ตรวจสอบ,,,,,,,,,,
,,,        (..................................................................),,,,,,,,,,,
,,,,,,,,,,,,,,
ที่,ชื่อ-สกุล,วันเวลาที่เข้าพัก,รวมจำนวน,ห้องพักราคา,รวมเป็นเงิน,รวมเป็นเงิน,หมายเหตุ,,,,,,,
,,,วันที่เข้าพัก,บาท,ค่าเช่าห้องพัก,ค่าธรรมเนียม,,,,,,,,
221,คุณจิราวัฒน์,,,,฿0,฿0,,,,,,,,
222,คุณสุดารัตน์,,,,฿0,฿0,,,,,,,,
223,คุณกิตติชัย,,,,฿0,฿0,,,,,,,,
224,คุณธนาธิป,,,,฿0,฿0,,,,,,,,
225,คุณจิราวัฒน์,,,,฿0,฿0,,,,,,,,
226,คุณศราวุฒิ,,,,฿0,฿0,,,,,,,,
227,คุณแสงจันทร์,,,,,,,,,,,,,
228,คุณพิชยดล,,,,,,,,,,,,,
229,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
